Name,Gender,Month,Year,Family Background,Product Name,Product Type,Price,Shop Name,Brands,Mode of Payment,Occupation,Salary,Net Worth,Education,State,City
Michelle Kelly,Male,October,2018,Upper Class,Mrs,Electronics,14.75,Scott Inc,Brand C,Credit Card,"Therapist, drama",63003.52,2309786.31,High School,Kansas,Lake Brandon
Joseph Holden,Male,September,1970,Middle Class,too,Personal Care,138.57,Estes PLC,Brand A,Cash,Merchant navy officer,137061.55,960694.44,Bachelor,Arizona,Eddieside
Lynn Clark,Female,May,2009,Middle Class,ahead,Grocery,16.04,Russell LLC,Brand A,Debit Card,Chiropodist,41243.43,2403342.84,Master,New Mexico,Wrightburgh
Patricia Bender,Male,January,1987,Upper Middle Class,mission,Grocery,116.64,"Morales, Haley and Leonard",Brand A,Credit Card,Haematologist,115922.35,7043117.24,High School,Pennsylvania,Ernestmouth
Lisa Hall,Female,July,1996,Upper Class,stuff,Electronics,51.88,Carr-Bryant,Brand B,Cash,Camera operator,100711.88,8113361.52,Bachelor,Wyoming,West Jamiefurt
Timothy Welch,Male,April,1988,Upper Middle Class,card,Electronics,154.17,Galvan LLC,Brand A,Credit Card,Bonds trader,49159.12,4283882.54,Master,Oklahoma,Figueroamouth
Karen Taylor,Female,March,1983,Upper Middle Class,outside,Personal Care,39.54,"Snyder, Ball and Giles",Brand C,Debit Card,"Solicitor, Scotland",144865.57,3432286.0,Bachelor,Nevada,West Michaelport
Tara Jones,Male,March,1975,Middle Class,lose,Household,82.19,"Vasquez, Morales and Miller",Brand C,Debit Card,Higher education careers adviser,73077.53,3505161.65,High School,North Carolina,South Richardshire
Robert Greene,Female,March,1998,Upper Class,artist,Electronics,163.35,"Merritt, Contreras and Smith",Brand C,Cash,Publishing rights manager,117567.81,5408658.11,Bachelor,Arizona,New Rebecca
Kathy Mitchell,Female,July,2007,Upper Class,machine,Household,24.97,Sherman-Hall,Brand D,Debit Card,Manufacturing systems engineer,65181.39,6323534.01,PhD,West Virginia,Port Bethany
Bradley Gonzales,Female,December,1992,Upper Class,figure,Household,119.7,Jackson Group,Brand B,Credit Card,Financial planner,114548.62,553661.4,Master,Montana,Timothymouth
Michael Gonzales,Male,December,1993,Middle Class,rate,Personal Care,156.88,Rodriguez LLC,Brand D,Debit Card,"Therapist, sports",148226.58,8567645.44,PhD,Idaho,North Jared
Jennifer Romero,Male,January,2009,Upper Middle Class,fall,Personal Care,82.22,Fowler-Brown,Brand A,Credit Card,Medical technical officer,84409.24,8357693.22,High School,Kansas,Christopherchester
Michael Boyd,Male,March,2004,Upper Class,investment,Grocery,80.33,Scott Inc,Brand B,Cash,"Programmer, systems",55140.84,2743080.44,PhD,Iowa,Ronaldside
Anne Wolfe,Male,January,1980,Upper Class,product,Grocery,125.73,Mendez LLC,Brand C,Debit Card,Careers information officer,50536.64,7318355.3,Master,Wyoming,New Angela
Tara Parker,Male,November,2001,Upper Class,east,Electronics,97.83,Robertson Group,Brand B,Cash,Insurance claims handler,62393.74,9261372.68,Master,Wisconsin,Briannafort
Christina Vargas,Male,September,1980,Upper Class,rock,Grocery,140.08,"Sexton, Green and Pacheco",Brand B,Debit Card,"Designer, industrial/product",131142.23,7782399.12,Master,Maine,South Stephanie
Shelley Anderson,Male,July,1975,Middle Class,raise,Household,166.14,Roberts-Stewart,Brand C,Cash,"Physicist, medical",126605.5,4071531.39,PhD,Georgia,Andersonborough
Gavin Bird,Male,January,2022,Upper Middle Class,standard,Personal Care,50.09,Smith PLC,Brand A,Credit Card,Advice worker,143149.17,8776039.5,Master,North Dakota,North Brianburgh
Richard Murray,Female,February,2023,Upper Class,fund,Electronics,50.4,Ayers-Lamb,Brand A,Debit Card,Horticultural therapist,89907.75,8858363.22,PhD,Alabama,Katherinehaven
Deanna Dominguez,Female,December,1991,Middle Class,option,Electronics,37.15,Tyler LLC,Brand A,Credit Card,Communications engineer,46755.64,7475390.92,Master,Mississippi,Moralesberg
Angela Williams,Female,May,1973,Middle Class,start,Grocery,151.93,Levine Ltd,Brand A,Credit Card,Insurance claims handler,81412.06,5876975.96,High School,South Carolina,Christopherfort
Kristen Campos,Female,June,2001,Middle Class,eye,Household,51.67,"Pitts, Greene and Jenkins",Brand A,Debit Card,Volunteer coordinator,149704.51,5144310.31,Master,Utah,North Deniseside
Jerome Wood,Male,October,2002,Upper Class,increase,Grocery,153.6,Ramirez-Brown,Brand A,Credit Card,Purchasing manager,133332.35,1613129.06,PhD,Minnesota,East Kellyport
John Williams,Male,October,1972,Middle Class,pull,Personal Care,160.5,Garcia-Hernandez,Brand A,Debit Card,Adult nurse,80659.2,728924.29,Master,Florida,Chenside
Kevin Wilson,Female,August,2022,Upper Middle Class,seven,Personal Care,123.22,Baker and Sons,Brand D,Cash,Ophthalmologist,86165.99,2588999.79,High School,Vermont,Susanchester
Rebecca Hernandez,Male,October,1984,Middle Class,truth,Electronics,139.25,Owen-Harris,Brand B,Credit Card,Economist,43746.21,8859405.66,High School,Maine,Martinshire
Kathy Wise,Female,May,1998,Upper Middle Class,high,Electronics,156.03,Miller-Torres,Brand B,Debit Card,Sub,70821.06,3005651.27,PhD,Vermont,Sheenaton
Tyler Klein,Male,April,2013,Upper Middle Class,return,Household,96.21,"Hubbard, Ortiz and Ward",Brand A,Credit Card,Artist,144457.91,8770944.11,PhD,Arizona,Tracyhaven
Amy Castro,Female,April,1991,Upper Class,suddenly,Personal Care,194.66,"Mitchell, Bush and Carroll",Brand D,Debit Card,Advertising copywriter,121435.46,5126048.58,Master,Georgia,South Stevenport
James Martin,Male,June,1993,Upper Class,Republican,Grocery,175.4,"Thomas, Silva and Ray",Brand C,Credit Card,Trade union research officer,65813.37,6425600.0,Bachelor,Kansas,Port Kennethville
Jennifer Dennis,Male,April,1997,Middle Class,far,Grocery,39.04,Carter-Pace,Brand D,Debit Card,Charity fundraiser,121501.3,5439852.4,High School,Arizona,Weavertown
Matthew Myers,Male,April,1973,Upper Class,like,Electronics,123.8,Howell LLC,Brand B,Debit Card,Energy manager,88632.68,1207490.48,Bachelor,Michigan,Port Frederick
Renee Phillips,Female,February,1978,Upper Class,Congress,Personal Care,176.96,Aguirre-Reyes,Brand A,Credit Card,Sports coach,129799.86,3144389.84,Bachelor,South Dakota,Carterville
Nicole Martinez,Male,January,2005,Middle Class,society,Personal Care,55.77,Dennis and Sons,Brand B,Cash,Sports coach,98082.83,879694.78,Bachelor,Nevada,East Melinda
Charles Jordan,Female,September,2012,Middle Class,federal,Personal Care,165.04,Reynolds Ltd,Brand D,Debit Card,IT technical support officer,147358.14,5373791.08,Bachelor,Georgia,Mandyborough
Erica Brown,Male,July,1996,Upper Class,only,Electronics,34.39,"David, Maxwell and Vance",Brand C,Cash,Fitness centre manager,87033.89,5543055.58,Bachelor,New York,Lake Gregorytown
Jason Rice,Female,August,1975,Upper Middle Class,town,Household,110.26,Mathis and Sons,Brand A,Cash,"Teacher, special educational needs",102791.27,9647192.77,PhD,Texas,New Michael
James Torres,Male,November,1977,Upper Middle Class,rather,Electronics,145.46,"Norman, Wilson and Miller",Brand D,Credit Card,Diplomatic Services operational officer,77879.08,6749700.9,PhD,Georgia,Jamesberg
Logan Benson,Female,September,1998,Upper Middle Class,adult,Household,93.24,White Ltd,Brand D,Credit Card,Fine artist,92109.1,1297941.54,Master,Alaska,Hicksville
Michael Patel,Male,November,2011,Upper Class,evidence,Personal Care,22.16,Howard Inc,Brand B,Debit Card,Database administrator,32524.11,5583823.07,Bachelor,New York,Brandiborough
Kristin Warner,Male,March,2012,Upper Middle Class,between,Household,11.37,"Johnson, Long and Davidson",Brand D,Credit Card,Chemical engineer,114940.91,682850.29,PhD,Nevada,Lake Nicoleland
William Price,Male,February,1983,Upper Class,me,Grocery,182.03,"Vasquez, Bright and Lawson",Brand A,Cash,Broadcast engineer,133156.25,801487.76,PhD,Alabama,North Billyport
Mary Johnson,Male,March,1998,Middle Class,sport,Personal Care,62.91,"Berry, Hicks and Peterson",Brand C,Credit Card,Cabin crew,88249.74,5438415.92,Bachelor,Rhode Island,Craigview
Lawrence Burgess MD,Female,September,2020,Middle Class,turn,Household,56.17,"Jordan, Owens and Fuller",Brand A,Debit Card,Adult guidance worker,86756.75,4129893.62,PhD,New Hampshire,Roachborough
Victor Ruiz,Male,November,1972,Middle Class,trouble,Electronics,28.42,Estrada LLC,Brand B,Cash,English as a second language teacher,81726.14,4293428.37,Master,Virginia,Port Gregg
Peggy Kennedy,Female,November,1994,Upper Class,another,Personal Care,174.13,Thomas-Salas,Brand C,Credit Card,Learning disability nurse,36500.54,6569209.33,Bachelor,West Virginia,Autumnhaven
Heather Kelley,Male,October,2001,Middle Class,entire,Household,21.52,Callahan Inc,Brand C,Cash,"Horticulturist, commercial",117385.63,8025865.86,Bachelor,Virginia,Jameschester
Heather English,Male,October,2014,Upper Middle Class,the,Household,57.24,"Fisher, Wolfe and Johnson",Brand B,Debit Card,Public librarian,52825.07,4541274.12,High School,Alaska,Tuckerburgh
Haley Berg,Female,September,2006,Middle Class,all,Household,44.86,Jones-King,Brand D,Debit Card,Gaffer,85515.37,8757410.95,High School,Missouri,Jonesport
April Tucker,Male,March,1992,Upper Class,particular,Personal Care,94.19,Miller PLC,Brand D,Debit Card,"Surveyor, rural practice",133361.89,5548220.59,High School,New Mexico,Gordonberg
Randy Ramirez,Male,September,1970,Upper Middle Class,community,Personal Care,133.91,"Stevenson, Barrett and Young",Brand A,Debit Card,Commissioning editor,94870.55,246102.78,Bachelor,Missouri,New Danielle
Susan Chapman,Male,December,2015,Middle Class,so,Grocery,186.01,Roman LLC,Brand B,Debit Card,Visual merchandiser,131843.49,1746479.99,Bachelor,Texas,Bryceport
Amanda Holland,Female,August,2014,Upper Class,certain,Electronics,101.46,"Huber, Armstrong and White",Brand A,Debit Card,Air traffic controller,133758.05,9034184.37,Master,Minnesota,West Douglashaven
Kevin Ross,Male,May,2011,Upper Middle Class,coach,Personal Care,82.0,Zhang-Robles,Brand B,Debit Card,Camera operator,148237.06,2725510.28,Bachelor,Pennsylvania,South Jennymouth
Megan Kim,Female,July,1988,Upper Middle Class,benefit,Personal Care,64.2,Montoya-Manning,Brand C,Credit Card,"Scientist, biomedical",113590.98,7332002.64,High School,Indiana,Gonzalezfort
Sharon Harris,Female,June,1991,Upper Middle Class,especially,Electronics,39.41,Hughes PLC,Brand C,Cash,Sports coach,65604.94,9690222.71,Bachelor,Colorado,Blairburgh
Anna Stevens,Male,April,1972,Upper Middle Class,network,Electronics,152.12,Robinson PLC,Brand C,Debit Card,"Accountant, chartered",36859.83,5883358.19,Master,Georgia,New Mauriceside
Ralph Thompson,Male,September,1995,Middle Class,coach,Personal Care,20.81,"Thomas, Perez and Morales",Brand C,Credit Card,IT sales professional,90939.42,8528291.2,PhD,South Carolina,Daleton
Mary White,Male,January,2007,Upper Class,nice,Personal Care,123.06,Evans PLC,Brand B,Cash,Ranger/warden,111025.51,2428518.56,PhD,Michigan,Carrbury
Bobby Houston,Male,May,2018,Upper Class,sister,Personal Care,188.9,"Rodgers, Gross and Martin",Brand C,Debit Card,"Administrator, local government",98361.05,5831298.67,High School,Connecticut,Cynthiaside
Robert Spencer,Male,December,1996,Upper Middle Class,also,Personal Care,127.68,Weber PLC,Brand D,Cash,Museum/gallery exhibitions officer,80306.99,5878355.66,High School,Minnesota,Lindabury
Vanessa Carter,Female,August,2012,Middle Class,exist,Electronics,187.59,Snyder Ltd,Brand A,Credit Card,Risk analyst,54511.1,7190298.83,Master,Wyoming,Port Kyleland
Melissa Morrison,Male,October,1994,Upper Middle Class,color,Personal Care,60.47,Martinez Inc,Brand D,Credit Card,Herbalist,45705.39,6490457.81,PhD,Alabama,Eddiemouth
Alfred Anderson,Female,February,1991,Upper Middle Class,often,Grocery,70.07,Neal and Sons,Brand C,Debit Card,Paramedic,120223.74,818176.83,High School,Oregon,Rebeccashire
Zachary Gilbert,Female,September,2021,Middle Class,may,Grocery,128.02,Barnes Inc,Brand D,Credit Card,"Teacher, adult education",97559.24,1089814.36,PhD,Massachusetts,Jasonland
Michelle Sanchez,Male,February,1991,Middle Class,why,Electronics,106.12,Grimes-Adams,Brand C,Debit Card,Operational investment banker,45894.79,3555187.47,Bachelor,Arizona,Ellisberg
Brenda Stevens,Male,June,2000,Upper Middle Class,tree,Household,177.06,Pratt-Hale,Brand C,Debit Card,Retail banker,74343.25,1661693.64,High School,Nebraska,North James
Angel Wright,Female,May,1978,Upper Class,lead,Personal Care,126.22,Orr-Durham,Brand D,Credit Card,Probation officer,148467.97,6574365.55,High School,Virginia,Marybury
Nicholas Jimenez,Male,January,2017,Upper Class,wide,Grocery,136.89,Hill Ltd,Brand B,Credit Card,Sales executive,96552.27,9324384.79,Bachelor,Hawaii,Port Donaldland
Michael Taylor,Male,November,2023,Upper Middle Class,relate,Grocery,188.4,"Braun, Parsons and Parsons",Brand B,Cash,Immunologist,46114.93,1242743.84,PhD,Oregon,Reyesside
Eric Williams,Male,September,1975,Upper Class,easy,Grocery,151.06,Evans LLC,Brand D,Cash,Broadcast presenter,48653.75,2889387.09,Bachelor,South Carolina,Jasonberg
Katie Gonzales,Male,May,2004,Upper Middle Class,whatever,Personal Care,146.35,Moreno Inc,Brand B,Debit Card,Proofreader,54431.68,6378955.79,Bachelor,Kansas,Reynoldsbury
Mark Dean,Female,July,1979,Upper Middle Class,task,Electronics,106.03,"Weaver, Diaz and Waller",Brand D,Credit Card,Garment/textile technologist,60134.55,9090774.56,PhD,Arkansas,Jenniferview
Rebecca Baker,Male,May,1980,Upper Middle Class,pretty,Household,27.54,Keller PLC,Brand D,Credit Card,Probation officer,80829.09,2839134.22,PhD,Hawaii,Jonathanmouth
Christy Watson,Male,March,1987,Upper Class,spring,Household,73.38,"Webb, Warren and Farrell",Brand C,Debit Card,"Therapist, horticultural",45698.36,9799999.74,PhD,South Dakota,South Jocelynmouth
Alexander Brown,Male,February,2017,Middle Class,born,Grocery,150.83,"Taylor, Simpson and Parrish",Brand C,Debit Card,Education administrator,96201.65,4334100.5,Master,Hawaii,Crystalberg
Steven Wilson,Male,August,2019,Upper Class,practice,Household,31.26,"Murphy, Sullivan and Dean",Brand A,Credit Card,Applications developer,143406.11,6941094.28,Bachelor,Nevada,North Christina
Kimberly Lewis,Male,November,2002,Upper Middle Class,medical,Grocery,113.66,"Wilkinson, Lawrence and Washington",Brand A,Credit Card,"Nurse, mental health",130151.4,5866844.71,High School,Nevada,Port Nicholasview
Susan Hammond,Male,January,2013,Upper Middle Class,experience,Household,91.66,"Romero, Pope and Simmons",Brand D,Debit Card,Veterinary surgeon,35019.46,3710050.0,Master,Wyoming,Davismouth
Garrett Roberts,Male,June,1993,Upper Middle Class,may,Personal Care,180.8,"Sullivan, Riley and Morgan",Brand D,Credit Card,"Doctor, hospital",55209.18,2570344.42,Master,Alabama,Littleshire
Brian Nunez,Male,November,2010,Middle Class,attack,Grocery,77.2,Pacheco LLC,Brand D,Debit Card,Medical laboratory scientific officer,97186.02,8759655.96,Bachelor,Mississippi,Port Raymondville
Christopher Sullivan,Male,November,2012,Middle Class,letter,Grocery,185.9,"Rodriguez, Schmidt and Buchanan",Brand B,Credit Card,Location manager,58408.48,1708767.49,PhD,Louisiana,Baileyport
Daniel Anderson,Male,July,1999,Upper Class,operation,Grocery,177.47,Flynn-Clark,Brand A,Cash,"Engineer, building services",32974.36,7391988.27,High School,Virginia,East Rachel
Nancy Ingram,Female,August,2002,Upper Class,child,Personal Care,158.65,Cohen-Banks,Brand A,Credit Card,Art therapist,79405.58,6732080.58,PhD,North Carolina,Alecside
Diane Hardy,Male,May,1989,Middle Class,TV,Electronics,60.69,Waters Inc,Brand B,Debit Card,Local government officer,124484.94,1170146.7,PhD,Maine,Lake Andreastad
Kristin Montes,Male,February,2023,Upper Class,open,Household,173.13,"Santiago, Lopez and Moore",Brand D,Cash,"Education officer, community",56692.05,8184207.4,High School,New Mexico,Samuelhaven
Kristine Rodriguez,Female,February,2021,Upper Class,miss,Grocery,76.44,Parsons-Fox,Brand A,Cash,Geoscientist,128464.37,8726098.06,PhD,Georgia,New Carl
Kayla Whitaker,Male,September,2021,Middle Class,score,Personal Care,14.5,"Payne, Murray and Moran",Brand D,Cash,Set designer,53175.57,3349793.32,Bachelor,South Carolina,Freemanberg
Mr. Brad Patrick,Male,January,2019,Upper Class,enjoy,Electronics,193.71,"Chen, Meyer and Day",Brand C,Cash,Prison officer,63495.0,6450669.21,Master,Kentucky,West Jennifer
Charles Lee,Female,August,2023,Upper Middle Class,she,Personal Care,139.11,Myers-Franklin,Brand C,Credit Card,TEFL teacher,131239.34,3378383.7,PhD,New Hampshire,North Christopherberg
Ryan Hernandez,Male,March,2017,Upper Class,environment,Household,31.91,Thomas Inc,Brand A,Debit Card,Warehouse manager,146448.07,1867821.38,Master,Rhode Island,South Shannon
Mark Garcia,Female,October,1982,Upper Middle Class,anyone,Grocery,17.27,Perkins-Hall,Brand D,Credit Card,"Programme researcher, broadcasting/film/video",101588.55,3522302.41,PhD,Pennsylvania,Angelatown
Kathryn Murray,Female,August,2011,Upper Class,certainly,Electronics,92.91,Lane-Schmidt,Brand A,Credit Card,Charity officer,148108.3,1244893.26,Master,Iowa,East Richardview
Melissa Smith,Male,April,2004,Middle Class,both,Household,58.4,"Diaz, Mayer and Wilson",Brand A,Debit Card,Mining engineer,115054.23,116743.65,Master,Oklahoma,North Michelle
Emma Parker,Male,September,1983,Upper Middle Class,worker,Grocery,79.2,Lynn PLC,Brand A,Credit Card,Video editor,38396.86,6675953.08,Master,Kentucky,Simpsonbury
Bradley Haynes,Female,February,2021,Middle Class,design,Electronics,128.4,Ellis-Williams,Brand B,Credit Card,Adult nurse,109606.5,1333790.63,Master,New Mexico,Washingtonmouth
Bethany Cook,Female,November,1977,Middle Class,Mr,Household,106.35,Stanley-Lin,Brand B,Cash,Video editor,110027.15,3329210.76,High School,Vermont,Kelseymouth
Emily Brown,Female,November,2018,Upper Class,drop,Grocery,115.34,Holden-Bailey,Brand A,Debit Card,Materials engineer,53020.81,6682801.4,Bachelor,Wyoming,Staffordshire
Jason Scott,Female,March,1982,Upper Middle Class,owner,Personal Care,138.69,Vega-Russell,Brand C,Cash,"Programmer, multimedia",138336.67,6193597.67,Bachelor,Illinois,Jeremyport
Steven Harris DDS,Female,July,2015,Upper Class,purpose,Personal Care,87.15,Willis-Galvan,Brand B,Credit Card,"Conservator, furniture",130047.02,3108362.0,High School,South Carolina,East Benjamin
Jennifer Richardson,Male,February,1978,Upper Middle Class,local,Grocery,91.68,"Summers, Walker and Gomez",Brand C,Debit Card,"Administrator, charities/voluntary organisations",99598.17,6581585.67,High School,Hawaii,Port Gabriela
Donald Norton,Female,September,2010,Middle Class,account,Grocery,93.94,"Walls, Pace and Elliott",Brand A,Credit Card,Photographer,111075.27,5160622.57,Bachelor,Alaska,North Jeffrey
Victor Williams,Male,December,1997,Upper Class,likely,Personal Care,135.18,"Weber, Austin and Silva",Brand C,Cash,Ranger/warden,64054.37,6672152.98,High School,New Mexico,Port Michael
William Davis,Female,September,2014,Middle Class,plant,Personal Care,27.74,"Daniels, Williams and Perez",Brand C,Cash,Trade mark attorney,144239.96,2425199.13,High School,Minnesota,Gilbertland
Amber Moore,Female,February,1989,Upper Middle Class,appear,Grocery,52.68,"Small, Castaneda and Huynh",Brand D,Credit Card,"Programmer, applications",53895.59,341811.34,PhD,New York,Tranborough
Samantha Martinez,Male,August,2015,Upper Middle Class,would,Personal Care,196.95,Bell-Patterson,Brand A,Credit Card,Chiropodist,103352.88,7708044.46,PhD,New Hampshire,Port Jennifer
Phillip Rodriguez,Female,October,2008,Middle Class,citizen,Household,88.74,Mitchell Inc,Brand B,Debit Card,Operations geologist,105571.85,2024908.84,High School,Iowa,New Brooke
Christopher Chase,Female,January,2004,Upper Class,dog,Personal Care,103.93,Booker and Sons,Brand C,Cash,Systems developer,59278.13,6594974.31,Master,Illinois,New Brandonbury
Russell Green,Male,August,1974,Upper Class,case,Electronics,179.61,"Brown, Jackson and Lin",Brand A,Cash,"Teacher, early years/pre",133252.87,8866105.53,Master,California,Brittanyshire
Tiffany Lloyd,Female,September,2013,Upper Middle Class,light,Electronics,51.58,Yang-Adams,Brand A,Credit Card,Translator,126493.18,6989526.59,PhD,Pennsylvania,Lake Davidmouth
Erica Hooper,Female,December,2001,Upper Class,his,Electronics,19.54,"White, Logan and Richardson",Brand C,Credit Card,Futures trader,59903.79,8498529.84,Master,Kentucky,Clarkville
